id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZSCAN18	2	0.039465	0.071298	0.67399	2022	2	-0.47626	0.96053	0.96057	1.0	15446	0	-0.47626
NOTUM	3	0.039514	0.096838	0.799239	2023	3	-0.47038	0.96049	0.96079	1.0	15445	0	-0.47038
PIAS3	5	0.039546	0.11518	0.866655	2024	4	-0.23875	0.9545	0.95465	1.0	15346	0	-0.23875
C1orf177	6	0.039549	0.12182	0.891392	2025	3	-0.17951	0.36451	0.58015	1.0	8068	3	-0.17951
SLC6A19	5	0.03958	0.11526	0.866655	2026	2	-0.007247	0.13316	0.27935	0.970586	4433	2	-0.007247
C20orf72	3	0.039617	0.09707	0.799487	2027	3	-0.54376	0.96038	0.96067	1.0	15439	0	-0.54376
MAPKAP	3	0.03964	0.097118	0.799487	2028	2	-0.92329	0.43477	0.51155	1.0	8923	1	-0.92329
PTCD1	4	0.039704	0.10182	0.817639	2029	3	-0.72775	0.91226	0.91208	1.0	14655	0	-0.72775
NDUFB	5	0.039751	0.11569	0.866655	2030	3	-0.37203	0.82557	0.83971	1.0	13382	1	-0.37203
PMEPA	2	0.039757	0.07183	0.676716	2031	2	-0.48633	0.96024	0.9603	1.0	15436	0	-0.48633
TTC39A	5	0.039785	0.11578	0.866655	2032	4	-0.20648	0.95755	0.95768	1.0	15392	0	-0.20648
IGLL1	6	0.039836	0.12246	0.894395	2033	4	-0.43345	0.077579	0.20278	0.944826	3041	1	-0.43345
KCNJ10	3	0.039917	0.097732	0.80343	2034	3	-0.18643	0.96008	0.96036	1.0	15432	0	-0.18643
PTTG	2	0.039941	0.07215	0.678243	2035	1	-0.83136	0.80632	0.80579	1.0	13108	0	-0.83136
C5orf3	2	0.039969	0.072196	0.678243	2036	2	-0.87382	0.96003	0.96008	1.0	15430	0	-0.87382
ASIC1	6	0.040059	0.12292	0.895154	2037	4	-0.29259	0.72355	0.82696	1.0	12022	1	-0.29259
FCGR	3	0.040065	0.09809	0.805573	2038	3	-0.16602	0.95993	0.96021	1.0	15428	0	-0.16602
MRPS27	4	0.040094	0.10262	0.821704	2039	3	-0.45644	0.74279	0.75768	1.0	12270	1	-0.45644
CYB5R4	4	0.040137	0.10271	0.822004	2040	3	-0.46764	0.92117	0.92089	1.0	14801	0	-0.46764
INTS4	4	0.040232	0.10289	0.822659	2041	2	-0.45799	0.76707	0.77556	1.0	12586	1	-0.45799
DOH	3	0.040393	0.098822	0.808159	2042	2	-0.37792	0.91695	0.91702	1.0	14732	0	-0.37792
PTGER	3	0.040434	0.098915	0.808159	2043	2	-0.44445	0.8921	0.89209	1.0	14337	0	-0.44445
SLC5A5	3	0.040464	0.098987	0.808159	2044	3	-0.32103	0.95954	0.95982	1.0	15425	0	-0.32103
NDUFAF2	3	0.040539	0.099149	0.808687	2045	3	-0.60277	0.95946	0.95973	1.0	15424	0	-0.60277
STH	2	0.040546	0.073195	0.68482	2046	2	-0.57341	0.95945	0.95949	1.0	15423	0	-0.57341
INO80C	3	0.040623	0.099355	0.808743	2047	2	-0.51073	0.90577	0.90587	1.0	14555	0	-0.51073
TBCA	3	0.040666	0.099454	0.808743	2048	1	-0.12644	0.91361	0.9137	1.0	14677	0	-0.12644
NBL1	10	0.040668	0.14969	0.978761	2049	5	-0.12657	0.50575	0.75754	1.0	9630	3	-0.12657
GPR6	5	0.040694	0.11807	0.876264	2050	3	-0.29364	0.034212	0.10188	0.883738	1662	1	-0.29364
UBL4B	3	0.04071	0.09954	0.808743	2051	3	-0.42706	0.95929	0.95956	1.0	15420	0	-0.42706
TAS2R40	2	0.040734	0.073526	0.685712	2052	2	-0.44394	0.95927	0.9593	1.0	15417	0	-0.44394
SACM1L	3	0.040803	0.099739	0.809928	2053	2	-0.25601	0.7026	0.70464	1.0	11767	1	-0.25601
KCNT1	3	0.040827	0.09979	0.809948	2054	3	-0.90992	0.95917	0.95945	1.0	15415	0	-0.90992
PITRM1	4	0.040831	0.10404	0.827496	2055	2	-0.28184	0.30818	0.45419	1.0	7354	1	-0.28184
MFAP2	4	0.040872	0.10412	0.827496	2056	2	-0.21408	0.79848	0.80104	1.0	13011	1	-0.21408
ZNF93	2	0.041012	0.074025	0.689201	2057	1	-0.88155	0.43689	0.44994	1.0	8942	1	-0.88155
TOP2B	3	0.041064	0.10031	0.812211	2058	3	-0.51272	0.95452	0.95484	1.0	15347	0	-0.51272
TMEM222	6	0.041157	0.12536	0.905217	2059	3	-0.25653	0.25757	0.45941	1.0	6591	2	-0.25653
HMGN1	3	0.041163	0.10052	0.812922	2060	3	-0.28068	0.95884	0.9591	1.0	15413	0	-0.28068
ZNF675	3	0.041183	0.10057	0.812922	2061	3	-0.2712	0.95882	0.95908	1.0	15412	0	-0.2712
CASC3	2	0.041291	0.074468	0.690602	2062	2	-0.75962	0.95871	0.95874	1.0	15409	0	-0.75962
RNF186	3	0.041317	0.10087	0.813938	2063	3	-0.16954	0.95868	0.95896	1.0	15408	0	-0.16954
PLEKHO1	4	0.041335	0.10504	0.831808	2064	3	-0.41999	0.046703	0.1157	0.89281	2133	1	-0.41999
TM7SF3	4	0.041405	0.10517	0.831808	2065	3	-0.31459	0.93943	0.93928	1.0	15078	0	-0.31459
MBTPS1	3	0.04144	0.10114	0.81423	2066	2	-0.47954	0.55968	0.59181	1.0	10178	1	-0.47954
RBM33	3	0.04144	0.10114	0.81423	2067	3	-0.56568	0.95856	0.95883	1.0	15407	0	-0.56568
TADA1	4	0.041443	0.10524	0.831808	2068	3	-0.45045	0.48225	0.61811	1.0	9418	1	-0.45045
C1orf49	7	0.041523	0.13487	0.934663	2069	5	-0.15488	0.84693	0.89826	1.0	13684	1	-0.15488
SLBP	4	0.041599	0.10555	0.832765	2070	3	-0.37255	0.97391	0.97383	1.0	15644	0	-0.37255
TCN2	4	0.041695	0.10574	0.83304	2071	3	-0.30736	0.24756	0.3931	0.98894	6417	1	-0.30736
NOL11	2	0.041813	0.075337	0.694811	2072	2	-0.55811	0.95819	0.95821	1.0	15403	0	-0.55811
NDUFB7	4	0.041861	0.10606	0.834418	2073	2	-0.40388	0.82199	0.82202	1.0	13342	1	-0.40388
TRAPPC3	2	0.041929	0.075557	0.696283	2074	2	-0.89275	0.90771	0.90748	1.0	14590	0	-0.89275
ZNF784	3	0.041947	0.10224	0.820267	2075	3	-0.16492	0.95805	0.95833	1.0	15400	0	-0.16492
DEPDC1	3	0.042002	0.10238	0.82094	2076	3	-0.35033	0.95772	0.95799	1.0	15397	0	-0.35033
FAM110B	2	0.042088	0.07583	0.697703	2077	2	-0.39919	0.95791	0.95792	1.0	15399	0	-0.39919
RTN4IP1	4	0.04222	0.10675	0.838064	2078	3	-0.48237	0.86474	0.86444	1.0	13958	0	-0.48237
COG8	3	0.042256	0.10293	0.822659	2079	2	-0.6393	0.30246	0.43843	0.996682	7282	1	-0.6393
RIC8A	3	0.042299	0.10301	0.822873	2080	3	-0.22158	0.9577	0.95798	1.0	15396	0	-0.22158
FCN2	3	0.042321	0.10307	0.822924	2081	3	-0.1932	0.95768	0.95796	1.0	15394	0	-0.1932
TOPORS	4	0.042413	0.10714	0.838669	2082	3	-0.36824	0.1811	0.32631	0.981231	5298	1	-0.36824
REEP5	4	0.042428	0.10718	0.838669	2083	2	-0.37886	0.39559	0.54236	1.0	8435	1	-0.37886
HCC	4	0.042444	0.10722	0.838669	2084	3	-0.34251	0.0053897	0.0187	0.816307	339	1	-0.34251
RHPN1	3	0.042538	0.10355	0.825959	2085	3	-0.23039	0.95746	0.95775	1.0	15388	0	-0.23039
NDUFS8	3	0.042643	0.10377	0.826891	2086	2	-0.3916	0.73488	0.73489	1.0	12162	1	-0.3916
DAD1	3	0.042663	0.10381	0.826891	2087	2	-0.56535	0.93918	0.93939	1.0	15073	0	-0.56535
PAF1	2	0.042692	0.07689	0.703174	2088	2	-0.81381	0.90266	0.90233	1.0	14505	0	-0.81381
CTAGE9	2	0.042723	0.076938	0.703174	2089	2	-0.86961	0.9322	0.93215	1.0	14976	0	-0.86961
TREML	4	0.042736	0.1078	0.838999	2090	3	-0.36853	0.061911	0.14509	0.921743	2580	1	-0.36853
GPRIN	2	0.042801	0.077074	0.703174	2091	2	-0.67338	0.9572	0.95721	1.0	15385	0	-0.67338
EPN1	3	0.042817	0.10417	0.827496	2092	2	-0.29296	0.48038	0.53934	1.0	9403	1	-0.29296
ZSCAN29	3	0.042818	0.10418	0.827496	2093	3	-0.28217	0.95718	0.95747	1.0	15384	0	-0.28217
PIK3R4	6	0.042949	0.12935	0.917088	2094	2	0.32268	0.018771	0.068299	0.857746	1037	4	0.32268
NDST3	5	0.042991	0.12378	0.897758	2095	3	-0.39189	0.99285	0.99293	1.0	16090	0	-0.39189
WBSCR16	3	0.043011	0.10459	0.830194	2096	2	-0.56482	0.51346	0.56057	1.0	9693	1	-0.56482
SAMD4B	4	0.043054	0.10844	0.842335	2097	3	-0.606	0.44505	0.59242	1.0	9043	1	-0.606
RORB	2	0.043073	0.07753	0.704674	2098	2	-0.43484	0.95693	0.95692	1.0	15380	0	-0.43484
ADAT3	2	0.043089	0.077555	0.704674	2099	1	-0.75018	0.46006	0.46986	1.0	9210	1	-0.75018
FBXL	7	0.043108	0.13913	0.949251	2100	4	-0.30343	0.99661	0.99663	1.0	16223	0	-0.30343
FEN1	2	0.043181	0.077719	0.705446	2101	1	-1.3817	0.84457	0.84421	1.0	13654	0	-1.3817
ABL1	3	0.043206	0.10501	0.831808	2102	2	-0.44603	0.72256	0.72314	1.0	12008	1	-0.44603
RARG	3	0.043237	0.10509	0.831808	2103	2	-0.28492	0.90236	0.90243	1.0	14494	0	-0.28492
KAT2A	4	0.043237	0.10878	0.843468	2104	3	-0.43132	0.88346	0.88307	1.0	14215	0	-0.43132
FAM70B	3	0.043268	0.10514	0.831808	2105	2	-0.61959	0.76165	0.76166	1.0	12514	0	-0.61959
PRSS21	3	0.043329	0.10531	0.831808	2106	2	-0.29729	0.61396	0.63141	1.0	10750	1	-0.29729
DEFB124	4	0.04334	0.10898	0.844222	2107	3	-0.38603	0.9642	0.96412	1.0	15501	0	-0.38603
NDUFA5	3	0.043359	0.10537	0.831808	2108	3	-0.21825	0.95664	0.95694	1.0	15376	0	-0.21825
C17orf61	4	0.043428	0.10916	0.844809	2109	3	-0.2852	0.16115	0.30611	0.978268	4944	1	-0.2852
SARD	3	0.043486	0.10565	0.83304	2110	3	-0.39886	0.95651	0.95681	1.0	15375	0	-0.39886
ASF1A	3	0.043521	0.10573	0.83304	2111	3	-0.2659	0.95648	0.95677	1.0	15374	0	-0.2659
ARPC3	3	0.043578	0.10585	0.83354	2112	2	-0.65455	0.056024	0.12664	0.905594	2389	1	-0.65455
SLC31A1	2	0.043599	0.078462	0.709889	2113	2	-0.7526	0.9564	0.95639	1.0	15371	0	-0.7526
NUP188	2	0.043632	0.078506	0.709889	2114	2	-0.73881	0.95637	0.95637	1.0	15370	0	-0.73881
TERT	7	0.04365	0.14055	0.953925	2115	4	-0.224	0.10393	0.26425	0.96555	3690	2	-0.224
CLPB	5	0.043722	0.12556	0.905259	2116	3	-0.25308	0.76331	0.80361	1.0	12541	1	-0.25308
SAFB	2	0.043736	0.078683	0.709939	2117	2	-0.29345	0.95626	0.95627	1.0	15369	0	-0.29345
TAF4	4	0.043772	0.10984	0.847344	2118	3	-0.38046	0.48178	0.61789	1.0	9414	1	-0.38046
FTMT	2	0.043959	0.079049	0.711349	2119	2	-0.46321	0.95604	0.95607	1.0	15368	0	-0.46321
WDR77	3	0.043995	0.10677	0.838064	2120	3	-0.21308	0.95601	0.95631	1.0	15366	0	-0.21308
TALDO1	3	0.044015	0.10682	0.838064	2121	3	-0.20323	0.95598	0.95628	1.0	15365	0	-0.20323
PGAP3	3	0.044021	0.10683	0.838064	2122	3	-0.19437	0.95598	0.95628	1.0	15364	0	-0.19437
ATG7	6	0.044047	0.1318	0.928064	2123	4	-0.20304	0.87361	0.88846	1.0	14081	1	-0.20304
PPHLN1	3	0.04426	0.10736	0.838669	2124	1	0.19528	0.061378	0.13382	0.913587	2564	2	0.19528
C9orf116	3	0.044314	0.10748	0.838799	2125	3	-0.15744	0.95569	0.95598	1.0	15360	0	-0.15744
SMS	3	0.044342	0.10755	0.838799	2126	2	-0.46074	0.93844	0.93867	1.0	15065	0	-0.46074
PIS	4	0.044352	0.11097	0.853261	2127	2	-0.16901	0.55779	0.65143	1.0	10154	1	-0.16901
NFU	4	0.044377	0.11102	0.853261	2128	2	-0.39161	0.77752	0.78367	1.0	12723	1	-0.39161
PHAX	3	0.044442	0.10776	0.838999	2129	1	-0.32282	0.9314	0.93158	1.0	14964	0	-0.32282
SNRNP48	3	0.04449	0.10786	0.839046	2130	3	-0.58051	0.95551	0.95583	1.0	15356	0	-0.58051
IFFO2	4	0.044523	0.1113	0.854978	2131	3	-0.39529	0.94982	0.94971	1.0	15251	0	-0.39529
RPS6KA6	2	0.044583	0.080152	0.71929	2132	2	-0.65504	0.95542	0.9554	1.0	15354	0	-0.65504
GDF11	4	0.044644	0.11152	0.855535	2133	3	-0.34243	0.80304	0.80493	1.0	13068	1	-0.34243
AMPD1	2	0.044787	0.080481	0.720692	2134	2	-0.29666	0.95521	0.9552	1.0	15352	0	-0.29666
PFAS	4	0.044788	0.11181	0.857339	2135	2	-0.28745	0.58297	0.66363	1.0	10432	1	-0.28745
VCAM1	5	0.044884	0.12841	0.914054	2136	3	-0.2078	0.15342	0.30957	0.978268	4805	2	-0.2078
SF3A3	3	0.044987	0.10894	0.844222	2137	1	0.16089	0.16991	0.27522	0.968605	5099	2	0.16089
ASB17	5	0.045029	0.12877	0.914916	2138	3	-0.40408	0.18753	0.35856	0.982573	5401	1	-0.40408
ARMS2	3	0.045098	0.10916	0.844809	2139	3	-0.24744	0.9549	0.95525	1.0	15351	0	-0.24744
NUFIP1	2	0.045104	0.080999	0.724163	2140	2	-0.68879	0.92238	0.92223	1.0	14817	0	-0.68879
IRX5	4	0.04515	0.1125	0.858814	2141	3	-0.26554	0.64747	0.6976	1.0	11120	1	-0.26554
BLM	4	0.045158	0.11252	0.858814	2142	2	-0.23231	0.34001	0.48628	1.0	7738	2	-0.23231
PET112	4	0.045287	0.11275	0.859566	2143	2	-0.41961	0.44151	0.58894	1.0	9005	1	-0.41961
JAG2	3	0.045323	0.10965	0.846643	2144	2	-0.40574	0.85424	0.85414	1.0	13791	0	-0.40574
NDUFA10	5	0.045351	0.1296	0.91764	2145	3	-0.53982	0.027057	0.083339	0.86764	1376	1	-0.53982
GON4L	6	0.045366	0.13466	0.934049	2146	3	-0.056627	0.56539	0.71813	1.0	10245	2	-0.056627
PPP1R1A	4	0.045477	0.11315	0.860683	2147	3	-0.38006	0.32102	0.4671	1.0	7512	1	-0.38006
IL3	9	0.045551	0.15883	0.997556	2148	6	-0.21941	0.79874	0.90135	1.0	13014	1	-0.21941
SURF6	4	0.045559	0.11329	0.860796	2149	2	-0.30788	0.38256	0.52924	1.0	8292	1	-0.30788
MYBL1	4	0.045617	0.11341	0.861208	2150	3	-0.24348	0.97558	0.97554	1.0	15678	0	-0.24348
SIPA	3	0.045628	0.1103	0.850135	2151	3	-0.2473	0.95437	0.95469	1.0	15344	0	-0.2473
AGRN	6	0.045647	0.13526	0.93575	2152	4	-0.22061	0.96186	0.96185	1.0	15465	0	-0.22061
SUPT4H	3	0.045807	0.1107	0.852517	2153	2	-0.63153	0.7864	0.78625	1.0	12846	0	-0.63153
ATP5J2	3	0.045826	0.11073	0.852517	2154	3	-0.20665	0.95417	0.95451	1.0	15339	0	-0.20665
PSEN1	3	0.045844	0.11077	0.852517	2155	3	-0.12015	0.95416	0.95449	1.0	15338	0	-0.12015
PRAMEF11	4	0.045859	0.11389	0.862587	2156	2	-0.22259	0.4286	0.57591	1.0	8841	2	-0.22259
THRAP	4	0.045939	0.11404	0.862845	2157	3	-0.49787	0.41633	0.56345	1.0	8703	1	-0.49787
PCMTD2	4	0.045946	0.11406	0.862845	2158	2	-0.28329	0.87342	0.87306	1.0	14080	0	-0.28329
TNFAIP1	4	0.045997	0.11416	0.862845	2159	3	-0.30157	0.91828	0.91802	1.0	14759	0	-0.30157
NDUFAF1	2	0.046025	0.082528	0.733495	2160	2	-0.38208	0.95398	0.95395	1.0	15333	0	-0.38208
ATPIF1	6	0.04606	0.13616	0.938571	2161	3	-0.27071	0.038831	0.12057	0.894993	1816	2	-0.27071
NSD1	4	0.046118	0.11439	0.863242	2162	2	-0.37396	0.24321	0.38879	0.988254	6354	1	-0.37396
MMACHC	3	0.046144	0.11144	0.855317	2163	3	-0.24414	0.95386	0.95418	1.0	15329	0	-0.24414
ST3GAL4	2	0.046252	0.082903	0.736045	2164	2	-0.32591	0.95375	0.95372	1.0	15327	0	-0.32591
SHFM1	2	0.046387	0.083103	0.737033	2165	2	-0.56012	0.95361	0.95357	1.0	15324	0	-0.56012
CCP11	3	0.046489	0.11222	0.858531	2166	3	-0.33017	0.95351	0.95384	1.0	15321	0	-0.33017
RP11-543D5.3	5	0.046503	0.13236	0.928913	2167	4	-0.23905	0.52331	0.67031	1.0	9784	1	-0.23905
NMNAT3	2	0.046508	0.083311	0.737705	2168	2	-0.39853	0.95349	0.95345	1.0	15320	0	-0.39853
CABP4	3	0.046616	0.11251	0.858814	2169	3	-0.15607	0.95338	0.95371	1.0	15317	0	-0.15607
LRRC72	4	0.046628	0.11535	0.866655	2170	3	-0.27438	0.90233	0.90199	1.0	14493	0	-0.27438
RNF25	4	0.046653	0.1154	0.866655	2171	3	-0.46268	0.95768	0.95763	1.0	15395	0	-0.46268
OGFOD2	3	0.046695	0.11267	0.859566	2172	3	-0.37675	0.95331	0.95362	1.0	15316	0	-0.37675
ID	3	0.04675	0.11277	0.859566	2173	2	-0.68034	0.93458	0.93481	1.0	15012	0	-0.68034
C2CD2L	4	0.046753	0.11561	0.866655	2174	3	-0.41603	0.0070054	0.023921	0.816307	436	1	-0.41603
MOGAT1	4	0.046812	0.11573	0.866655	2175	3	-0.36831	0.8596	0.85929	1.0	13881	0	-0.36831
C17orf90	4	0.04682	0.11574	0.866655	2176	3	-0.34328	0.95196	0.95186	1.0	15290	0	-0.34328
MOV1	6	0.04688	0.1379	0.944505	2177	3	-0.28264	0.53526	0.69754	1.0	9929	2	-0.28264
C17orf28	4	0.046904	0.11591	0.866997	2178	3	-0.41678	0.70484	0.73185	1.0	11790	1	-0.41678
HCFC1R	3	0.046932	0.11318	0.860683	2179	3	-0.2405	0.95307	0.95339	1.0	15314	0	-0.2405
HPCAL4	6	0.046941	0.13802	0.944505	2180	4	-0.32365	0.526	0.69132	1.0	9819	1	-0.32365
CCT4	3	0.046963	0.11324	0.860796	2181	2	-0.66028	0.035739	0.088371	0.875609	1707	1	-0.66028
TMEM184A	4	0.047014	0.11613	0.867712	2182	2	-0.15927	0.06423	0.14956	0.921743	2630	2	-0.15927
PGBD4	2	0.047021	0.084194	0.740839	2183	2	-0.42363	0.95298	0.9529	1.0	15313	0	-0.42363
MARCKS	3	0.047084	0.1135	0.861208	2184	3	-0.54689	0.95292	0.95324	1.0	15311	0	-0.54689
HDG	3	0.047091	0.11351	0.861208	2185	2	-0.35952	0.67977	0.68438	1.0	11507	1	-0.35952
ARF4	4	0.047152	0.11639	0.868506	2186	2	-0.18927	0.16863	0.31365	0.978268	5073	2	-0.18927
ZNF343	2	0.047157	0.084439	0.740845	2187	2	-0.39221	0.95284	0.95277	1.0	15310	0	-0.39221
ZNF569	3	0.047185	0.11372	0.861659	2188	3	-0.1463	0.95281	0.95314	1.0	15308	0	-0.1463
LSM3	2	0.047238	0.084574	0.741393	2189	1	-1.1458	0.55117	0.55251	1.0	10074	1	-1.1458
METTL7	4	0.047246	0.11655	0.868506	2190	3	-0.39043	0.45822	0.60582	1.0	9186	1	-0.39043
ADD1	5	0.047314	0.13426	0.932641	2191	3	-0.24266	0.34483	0.52375	1.0	7814	1	-0.24266
NDUFB4	7	0.047496	0.15067	0.979999	2192	4	-0.21974	0.05425	0.16816	0.925081	2343	3	-0.21974
DAG	5	0.047528	0.13479	0.934522	2193	3	-0.31951	0.91504	0.91522	1.0	14699	0	-0.31951
ANH	3	0.047556	0.11452	0.863793	2194	3	-0.40057	0.95244	0.95275	1.0	15303	0	-0.40057
SET	2	0.047604	0.085182	0.743521	2195	1	-0.42722	0.8577	0.8574	1.0	13847	0	-0.42722
TIGD3	2	0.047619	0.085199	0.743521	2196	2	-0.50929	0.95238	0.95232	1.0	15300	0	-0.50929
DDX18	3	0.047658	0.11467	0.864509	2197	2	-0.62603	0.29143	0.42592	0.993386	7121	1	-0.62603
OR6X1	2	0.047659	0.085261	0.743521	2198	2	-0.38901	0.95234	0.95228	1.0	15299	0	-0.38901
LHX1	4	0.047703	0.11743	0.873865	2199	3	-0.3949	0.86235	0.86208	1.0	13924	0	-0.3949
L2HGD	3	0.047754	0.11481	0.865207	2200	2	-0.39147	0.017064	0.044414	0.832426	974	1	-0.39147
PINX1	4	0.047902	0.11779	0.875422	2201	2	-0.38868	0.92699	0.92671	1.0	14883	0	-0.38868
TRIM16	4	0.047906	0.1178	0.875422	2202	3	-0.22889	0.44601	0.5934	1.0	9051	1	-0.22889
HOXB	7	0.047922	0.15177	0.982143	2203	4	-0.26153	0.27241	0.50086	1.0	6821	1	-0.26153
PSMD3	4	0.047961	0.1179	0.8758	2204	3	-0.54293	0.020721	0.063248	0.857555	1123	1	-0.54293
URI1	3	0.048071	0.11528	0.866655	2205	1	0.1435	0.038068	0.093601	0.883738	1789	2	0.1435
SBDS	2	0.048091	0.085947	0.746078	2206	1	-0.83821	0.7873	0.78677	1.0	12860	0	-0.83821
DHX37	2	0.048121	0.086001	0.746078	2207	1	-0.50891	0.20448	0.26999	0.967179	5703	1	-0.50891
SKA3	4	0.048148	0.11825	0.876416	2208	1	0.073265	0.27654	0.42235	0.993386	6884	2	0.073265
CENPC1	2	0.048152	0.08605	0.746078	2209	1	-1.1011	0.75922	0.75868	1.0	12483	0	-1.1011
HEATR3	2	0.048213	0.086149	0.746551	2210	2	-0.85261	0.9401	0.9401	1.0	15092	0	-0.85261
SNIP1	5	0.048281	0.13667	0.940531	2211	3	-0.35832	0.17326	0.33822	0.98246	5153	2	-0.35832
OR6B3	3	0.048293	0.11559	0.866655	2212	2	-0.49049	0.82242	0.82223	1.0	13348	0	-0.49049
RPP30	3	0.048343	0.11566	0.866655	2213	2	-0.16262	0.94748	0.94775	1.0	15220	0	-0.16262
CDC25A	5	0.04853	0.13724	0.943076	2214	4	-0.26387	0.925	0.92528	1.0	14848	0	-0.26387
TAF10	4	0.048647	0.11919	0.880707	2215	3	-0.35687	0.79973	0.8021	1.0	13029	1	-0.35687
BRD	8	0.048808	0.15817	0.996878	2216	4	-0.2279	0.37093	0.61846	1.0	8143	3	-0.2279
RPN1	4	0.048842	0.11961	0.88296	2217	3	-0.42686	0.86091	0.86058	1.0	13900	0	-0.42686
ZCCHC7	3	0.048942	0.11646	0.868506	2218	2	-0.4101	0.8976	0.89764	1.0	14423	0	-0.4101
SRP72	4	0.04899	0.11988	0.88339	2219	3	-0.30966	0.38495	0.53162	1.0	8326	1	-0.30966
SH3D21	8	0.049058	0.15876	0.997556	2220	5	-0.29257	0.83803	0.91427	1.0	13554	2	-0.29257
RAD51B	2	0.049122	0.087706	0.755712	2221	2	-0.36304	0.95088	0.95081	1.0	15270	0	-0.36304
HSD17B14	4	0.049308	0.12053	0.886613	2222	3	-0.30935	0.085957	0.18995	0.937961	3235	1	-0.30935
RPP25	2	0.049344	0.088078	0.75837	2223	2	-0.45483	0.95066	0.95059	1.0	15268	0	-0.45483
C19orf71	4	0.04967	0.12126	0.888833	2224	3	-0.35545	0.95041	0.95032	1.0	15263	0	-0.35545
RNF114	3	0.049726	0.11753	0.874231	2225	2	-0.46565	0.9129	0.91299	1.0	14662	0	-0.46565
FZR1	4	0.049771	0.12146	0.889936	2226	1	0.25664	0.017214	0.055481	0.85045	978	3	0.25664
SUCLG1	5	0.049778	0.14026	0.95344	2227	2	-0.11785	0.48084	0.63441	1.0	9406	1	-0.11785
GATS	2	0.0499	0.089034	0.761636	2228	2	-0.39737	0.9501	0.95006	1.0	15256	0	-0.39737
ZNF737	4	0.049958	0.12182	0.891392	2229	3	-0.47136	0.68598	0.72013	1.0	11578	1	-0.47136
ELMOD1	2	0.049998	0.089179	0.76183	2230	2	-0.25967	0.95	0.94996	1.0	15255	0	-0.25967
ZNF425	2	0.050005	0.089194	0.76183	2231	2	-0.64619	0.95	0.94995	1.0	15254	0	-0.64619
KRT85	4	0.050206	0.1223	0.894395	2232	2	-0.40989	0.47262	0.61405	1.0	9331	1	-0.40989
ZMYND19	3	0.050209	0.11816	0.876416	2233	2	-0.53396	0.76824	0.76815	1.0	12606	0	-0.53396
ARSK	4	0.050236	0.12237	0.894395	2234	3	-0.45116	0.94086	0.94071	1.0	15107	0	-0.45116
DPPA5	3	0.050252	0.11822	0.876416	2235	2	-0.43257	0.7674	0.76735	1.0	12590	0	-0.43257
SIGMAR1	6	0.050253	0.14513	0.964651	2236	4	-0.27575	0.89203	0.89987	1.0	14336	1	-0.27575
KYN	5	0.050478	0.14193	0.958223	2237	4	-0.14082	0.96885	0.96897	1.0	15570	0	-0.14082
MNF1	2	0.050579	0.09013	0.766288	2238	2	-0.66118	0.94942	0.94932	1.0	15244	0	-0.66118
SNX8	4	0.050621	0.12312	0.895417	2239	3	-0.27406	0.98102	0.98108	1.0	15790	0	-0.27406
RADIL	4	0.050665	0.1232	0.895605	2240	3	-0.37893	0.71603	0.73908	1.0	11930	1	-0.37893
EPC2	3	0.050742	0.11888	0.87988	2241	2	-0.65573	0.83227	0.83202	1.0	13476	0	-0.65573
CSNK1A1	3	0.050788	0.11894	0.87988	2242	1	0.17287	0.15968	0.26213	0.964015	4920	2	0.17287
AKT	13	0.050797	0.19402	1.0	2243	7	-0.16831	0.48044	0.76576	1.0	9404	5	-0.16831
SYF2	4	0.050969	0.1238	0.897758	2244	3	-0.38368	0.98256	0.98263	1.0	15820	0	-0.38368
LILRA3	2	0.05098	0.090806	0.770071	2245	2	-0.2848	0.94902	0.94893	1.0	15239	0	-0.2848
PDE4C	5	0.051042	0.14327	0.959753	2246	3	-0.26993	0.74859	0.79614	1.0	12345	1	-0.26993
RSRC2	4	0.051134	0.1241	0.898997	2247	3	-0.43478	0.76473	0.77376	1.0	12556	1	-0.43478
CCDC28B	4	0.051202	0.12423	0.899112	2248	3	-0.35872	0.95345	0.95334	1.0	15318	0	-0.35872
PDHA2	2	0.051241	0.091231	0.773283	2249	2	-0.30015	0.94876	0.94864	1.0	15235	0	-0.30015
SRM	5	0.051254	0.1438	0.960473	2250	4	-0.18762	0.96372	0.96386	1.0	15490	0	-0.18762
SNX30	4	0.051272	0.12436	0.899118	2251	3	-0.28532	0.96359	0.96347	1.0	15487	0	-0.28532
KIF20A	3	0.051378	0.11978	0.88333	2252	2	-0.43694	0.28557	0.41878	0.993386	7021	1	-0.43694
PIGM	3	0.051401	0.11981	0.88333	2253	2	-0.43631	0.48944	0.54503	1.0	9484	1	-0.43631
WDR82	2	0.051411	0.091513	0.774091	2254	2	-0.85401	0.94859	0.94849	1.0	15233	0	-0.85401
RAB6	3	0.051756	0.12029	0.88534	2255	2	-0.54795	0.76379	0.76377	1.0	12546	0	-0.54795
SLX4	4	0.051797	0.12539	0.905217	2256	3	-0.36328	0.92717	0.92689	1.0	14888	0	-0.36328
ABCB6	6	0.051818	0.14856	0.976312	2257	3	-0.27409	0.24654	0.44652	0.99904	6406	2	-0.27409
